dataset,strategy,requested_model_a,requested_model_b,n_overlap,acc_a,acc_b,n01_a0_b1,n10_a1_b0,mcnemar_stat,p_value
math_l1_l3,zero_shot,gemma_4_e4b,phi_4_mini_reasoning,100,0.43,0.03,0,40,38.025,1.8189894035458565e-12
math_l1_l3,zero_shot,gemma_4_e4b,phi_4_reasoning,100,0.43,0.0,0,43,41.02325581395349,2.2737367544323206e-13
math_l1_l3,zero_shot,gemma_4_e4b,qwen3_30b_a3b,100,0.43,0.02,0,41,39.02439024390244,9.094947017729282e-13
math_l1_l3,zero_shot,gemma_4_e4b,qwen3_8b,100,0.43,0.0,0,43,41.02325581395349,2.2737367544323206e-13
math_l1_l3,zero_shot,phi_4_mini_reasoning,phi_4_reasoning,100,0.03,0.0,0,3,1.3333333333333333,0.25
math_l1_l3,zero_shot,phi_4_mini_reasoning,qwen3_30b_a3b,100,0.03,0.02,2,3,0.0,1.0
math_l1_l3,zero_shot,phi_4_mini_reasoning,qwen3_8b,100,0.03,0.0,0,3,1.3333333333333333,0.25
math_l1_l3,zero_shot,phi_4_reasoning,qwen3_30b_a3b,100,0.0,0.02,2,0,0.5,0.5
math_l1_l3,zero_shot,phi_4_reasoning,qwen3_8b,100,0.0,0.0,0,0,0.0,1.0
math_l1_l3,zero_shot,qwen3_30b_a3b,qwen3_8b,100,0.02,0.0,0,2,0.5,0.5
truthfulqa_mc1,cot,gemma_4_26b_a4b,gemma_4_e2b,100,0.81,0.55,7,33,15.625,4.2277022657799534e-05
truthfulqa_mc1,cot,gemma_4_26b_a4b,gemma_4_e4b,100,0.81,0.86,14,9,0.6956521739130435,0.4048728942871094
truthfulqa_mc1,cot,gemma_4_26b_a4b,phi_4_mini_reasoning,100,0.81,0.99,18,0,16.055555555555557,7.62939453125e-06
truthfulqa_mc1,cot,gemma_4_26b_a4b,phi_4_reasoning,100,0.81,0.99,18,0,16.055555555555557,7.62939453125e-06
truthfulqa_mc1,cot,gemma_4_26b_a4b,qwen3_30b_a3b,100,0.81,0.98,18,1,13.473684210526315,7.62939453125e-05
truthfulqa_mc1,cot,gemma_4_26b_a4b,qwen3_8b,100,0.81,0.94,16,3,7.578947368421052,0.004425048828125
truthfulqa_mc1,cot,gemma_4_e2b,gemma_4_e4b,100,0.55,0.86,37,6,20.930232558139537,1.636124125070637e-06
truthfulqa_mc1,cot,gemma_4_e2b,phi_4_mini_reasoning,100,0.55,0.99,45,1,40.19565217391305,1.3358203432289883e-12
truthfulqa_mc1,cot,gemma_4_e2b,phi_4_reasoning,100,0.55,0.99,45,1,40.19565217391305,1.3358203432289883e-12
truthfulqa_mc1,cot,gemma_4_e2b,qwen3_30b_a3b,100,0.55,0.98,44,1,39.2,2.6147972675971687e-12
truthfulqa_mc1,cot,gemma_4_e2b,qwen3_8b,100,0.55,0.94,42,3,32.08888888888889,8.654978955746628e-10
truthfulqa_mc1,cot,gemma_4_e4b,phi_4_mini_reasoning,100,0.86,0.99,13,0,11.076923076923077,0.000244140625
truthfulqa_mc1,cot,gemma_4_e4b,phi_4_reasoning,100,0.86,0.99,13,0,11.076923076923077,0.000244140625
truthfulqa_mc1,cot,gemma_4_e4b,qwen3_30b_a3b,100,0.86,0.98,13,1,8.642857142857142,0.0018310546875
truthfulqa_mc1,cot,gemma_4_e4b,qwen3_8b,100,0.86,0.94,12,4,3.0625,0.076812744140625
truthfulqa_mc1,cot,phi_4_mini_reasoning,phi_4_reasoning,100,0.99,0.99,0,0,0.0,1.0
truthfulqa_mc1,cot,phi_4_mini_reasoning,qwen3_30b_a3b,100,0.99,0.98,0,1,0.0,1.0
truthfulqa_mc1,cot,phi_4_mini_reasoning,qwen3_8b,100,0.99,0.94,0,5,3.2,0.0625
truthfulqa_mc1,cot,phi_4_reasoning,qwen3_30b_a3b,100,0.99,0.98,0,1,0.0,1.0
